date,pH,Conductivity,Chloride,Sodium,Potassium,Hardness,"Alkalinity, Tot.",Prec. Potential*,Turbidity,Colour,Total coliform,E. coli,"Organic Carbon, Diss.",Chlorophyll,Nitrites,Ammonium,Nitrates ,Phosphate,Iron,Manganese,Sulphate
Units,,mS/m,mg/L,mg/L,mg/L,mg/L as CaCO3,mg/L as CaCO3,mg/L as CaCO3,NTU,mg/L Pt.,Counts/100 mL,Counts/100 mL,mg/L,Âµg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Jul-11,8.13,49.4,44.8,37.1,4.6,178.9,100.1,2.2,5,24,4403,64,2.1,3.06,0.02,0.276,2.21,0.3,134,10,80
Aug-11,8.07,53.7,52.1,35.1,4.8,186,117.1,5,5,22,1860,31,4.4,1.914,0.07,0.244,1,0.6,210,18,78
Sep-11,8.16,56.2,50.5,38.3,5.3,215.9,103.9,5,3,25,2565,15,2.95,2.143,0.11,0.234,1.168,0.01,98,23,90
Oct-11,8.34,57,55.6,37.4,5,202.5,111,7.9,5,24,8458,23,3.9,6.248,1.09,0.19,6.287,0.1,80,25,81.1
Nov-11,8.35,59.8,53.2,40.4,5.6,192.3,115.7,7.6,9,26,7838,3,4.93,7.037,1.66,0.207,1.213,0.027,43,18,77.4
Dec-11,8.22,62.9,59,51.1,10.6,210.3,80.2,3.6,10,37,4400,17,7.91,7.037,0.09,0.265,0.669,0.25,50,13,77
Jan-12,8.51,66.6,67.6,44.3,6,188.6,77.7,4.7,15,39,35184,111,7.045,7.037,0.04,0.11,4.055,0.1,12,14,76.4
Feb-12,8.59,65.6,74.3,49.4,6.5,165.6,109.4,7.7,11,37,18810,129,8.2767,0.86,0.01,0.271,4.82,0.3,38,10,62.5
Mar-12,8.31,58.8,79.8,49.4,6.5,165.6,81.3,7.7,12,34,16622,105,7.25,12.23,0.01,0.178,3.826,0.3,110,50,65.5
Apr-12,8.45,61.5,82.1,49.4,6.5,165.6,84.7,7.7,21,40,17000,2,6.84,12.23,0.01,0.495,3.659,0.018,110,10,67.1
May-12,8.76,60.88,86.3,48,7,179.84,81.05,-26.1,12.25,34,20075,825,8.15,28.98,0.06,0.23,3.29,0.05,30,30,74.21
June-12,8.64,62.72,85,54,7.4,186.5,113.07,10.9,9.93,32,17672,9,1.9,9.84,0.02,0.24,3.02,0.08,50,20,76.5
July-12,8.87,65.47,86.4,50,7,205.37,145.7,10.9,6.01,26,25200,7,4,5.73,0.02,0.11,2.1,0.11,40,30,70.37
Aug-12,8.61,63.96,95.2,53,7.7,220.13,140.11,11.23,14.64,25,37800,6,3.2,39.7,0.02,0.33,1.9,0.03,80,40,74.75
Sep-12,8.23,67.25,85.7,68,8.5,229.54,143.14,2.77,2.91,30,151925,3,5,39.7,0.11,0.18,1.45,0.1,90,50,72.51
Oct-12,8.28,68.3,91.8,57.75,8.79,207.23,149.27,3.75,3.11,48.5,75950,10,3,39.7,0.07,0.35,3.35,0.01,40,20,70.55
Nov-12,8.01,71.12,96.7,58.13,7.61,235.01,135.77,1.26,14.87,37,17050,21,8,14.36,0.08,0.5,3.5,0.15,220,30,89.75
Dec-12,8.11,69.5,92.4,57.9,7.88,190.67,136.15,1.99,14.34,45,9500,3,7,7.21,0.05,0.37,3.67,0.01,240,30,49.12
Jan-13,7.96,64.85,83.5,54.7,7.44,177.81,124.85,2.08,24.53,41,NR,4.4,8,26.17,34.81,0.33,4.14,0.03,190,80,76
Feb-13,8.27,65.2,86.4,57.41,8.07,180.89,132.58,5.03,9.5,27,60450,1,8,52.1,1.68,0.21,2.88,0.1,110,20,74
Mar-13,7.93,63.38,76,61,8.3,162.8,125.51,2.4,7.56,33,27140,6,6.84,42.1,2.06,0.06,2.16,0.06,30,30,78
Apr-13,7.64,64.88,78.5,56,9.2,156.96,132.63,4.4,13.29,37,25100,10,10,15.99,3.07,0.08,1.38,0.05,150,30,78
May-13,7.17,65.64,75.4,59,8.8,191.32,138.07,-24.23,9.78,41.6,18092,67,5,13.77,2.91,0.05,1.49,0.05,360,240,74
June-13,8.59,63.46,81.1,72.3,10.27,199.89,137.95,13.04,6.4,30,25406,1,4.4,52.41,3.56,0.02,2.84,0.03,40,30,76
July-13,8.71,66.57,82.2,60.04,8.37,198,135.75,15.33,6.21,23,14783,3,9,63.63,2.54,0.02,7.44,0.05,80,20,86
Aug-13,8.75,66.56,76.8,85.84,12.8,204.12,135.17,19.8,5.74,25.4,2295,3,3.9,83.5,7.02,0.06,2,0.04,32.72,10,84
Sep-13,8.4,66.38,75.7,85.84,,185.68,135.29,20.3,3.66,21,1193,2,6.5,39.54,1.18,0.03,1.67,0.05,89.95,17.97,68
Oct-13,8.27,65.88,93.1,52,7.8,151.23,127.94,4.35,3.7,19.5,7560,425,4,32.5,1.1,0.05,1.03,0.05,119.75,62.5,74
Nov-13,8.47,65.62,90.9,58.25,8.07,165.88,134.79,8.84,6.32,32,3675,12,5,42.48,1.34,0.07,0.44,0.05,87.2,51,90
Dec-13,8.13,66.37,94.8,58.25,,175.91,125.88,2.6,5.9,19.33,656.67,19,10,29.51,0.22,0.14,0.44,0.04,132.73,5.01,NR
Jan-14,7.88,67.72,82.1,55.09,7.77,145.56,121.97,-2.4,8.5,41.5,938.33,53,6,9.26,0.25,0.32,1.3,0.04,103.01,32.5,58.54
Feb-14,8.06,47.35,66.1,46,8.2,144.04,127,3.47,229,1185,9050,356,6.84,15.92,0.25,2.06,0.62,0.07,1452,137.26,51.66
Mar-14,7.64,27.94,28.82,18,5,96.36,64,-5.6,204.7,626,5675,150,3,7.63,0.33,1.85,0.47,0.09,2940,148.01,27.26
Apr-14,7.25,24.51,13,13.91,4.68,82.45,62.72,-15.18,197,1009,978,40,7.84,5.18,0.28,1.85,0.66,0.06,2332,104.44,26.55
May-14,7.57,35.5,33.84,17.41,3.81,86.07,88.61,-6.94,49.74,155.2,402.8,7,6.18,7.3,2.88,0.76,2.03,0.05,820.58,35.07,72.03
June-14,7.95,44.02,,25.52,4.51,102.89,94.9,0.38,11.73,70,1074,1,14.29,21.92,0.25,0.27,0.74,0.03,336.18,41.98,78.3
July-14,8,51.33,38.75,27.57,4.37,107.24,95.51,2.2,7.35,33.67,3227,0,10.04,1.72,0.25,0.11,0.82,0.03,216.27,35.8,98.87
Aug-14,8.1,161.5,64.99,39.57,5.79,145.09,104.47,2.55,4.74,34.4,651,1,7.12,13.55,0.26,0.16,1.46,0.02,91.16,10,81.71
Sep-14,8.31,60.62,42.17,43.12,6.1,209.95,103.67,7.42,3.67,26.8,95.6,0,6.23,12.07,1.15,0.3,0.75,0.01,42.51,22.72,92
Oct-14,8.02,63.2,44.96,45.19,5.89,163.45,113.25,2.1,3.65,24.5,184.5,1,8.84,12.07,0.47,0.24,0.44,0.01,77.25,56.88,115.27
Nov-14,7.99,65.72,49.02,45.19,5.89,163.45,122.1,3.35,5.97,24.75,878,6.25,7.63,5.61,0.28,0.14,0.67,0.02,33.05,30.25,91.38
Dec-14,8.27,67.6,92.94,45.19,5.89,183.67,329.06,7.8,5.98,26.4,995,51.6,7.78,19.78,0.06,0.05,0.84,0.16,14.75,61,91.19
Jan-15,8.05,68.2,68.81,54,7.2,187.84,106.15,1.52,9.65,36,1285,41.8,6.87,19.03,0.06,0.07,0.51,0.13,19.6,64.2,63.71
Feb-15,8.05,70.46,88.37,62,7.5,249.33,115.98,3.17,9.33,32.8,2909,1,7.15,28.4,0.16,0.21,0.52,0.29,37.5,247.67,99.48
Mar-15,8.16,71.5,95.05,62,7.5,230.7,139.89,5.75,12.78,24.2,3881,2.2,5.98,19.09,0.06,0.09,0.58,0.2,20,43.25,89.35
Apr-15,7.86,73.55,96.43,41.72,5.49,174.85,125.94,5.75,13.13,53,472,7,12.4,5.42,0.07,0.1,0.9,0.22,84.07,86.73,92.32
May-15,8.47,71.15,91.46,41.72,5.49,212.43,127.87,6.7,28.13,76,2884,11.25,11.81,22.65,0.08,0.09,NR,0.2,289.45,11.13,96.33
June-15,8.47,70.55,84.23,41.72,5.49,212.43,130.51,6.7,28.84,97,292,13.8,11.81,42.37,0.06,-0.02,0.64,0.2,NR,NR,98.69
July-15,8.25,71.72,87.46,41.72,5.49,212.43,140.74,10,15.95,42.75,153.5,4.75,14.98,42.37,0.08,0.07,1.51,0.2,245.96,97.25,97.88
Aug-15,8.19,73.3,83.52,62,8.1,248.86,143.24,7.93,9.52,29.33,3783,10,4.33,4.58,0.09,0.06,1.33,0.2,137.6,18.75,94.17
Sep-15,8.42,73.86,86.17,70.64,8.92,248.86,144.92,17.8,8.43,20.8,8240,15,4.33,22.87,0.09,0.08,0.52,0.39,82.88,27.77,94.86
Oct-15,8.41,73.37,87.15,60.58,10.76,213.65,133.13,17.8,12.63,23.75,3175,13,9.59,21.35,0.07,0.25,NR,0.32,16.47,35.42,81.51
Nov-15,8.32,77.32,85,66.85,9.14,188.13,137.78,14.97,19.14,23.6,3225,6.25,9.26,35.49,0.09,0.09,0.5,0.2,53.22,10,87.7
Dec-15,8.32,77.32,85,66.85,9.14,188.13,137.78,14.97,19.14,23.6,3225,6.25,9.26,35.49,0.09,0.09,0.5,0.2,53.22,10,87.7
Jan-16,8.57,78.28,84.57,58.7,8.43,192.23,133.09,14.97,24.55,24.75,2950,10,9.87,54.92,0.06,0.03,0.5,0.41,42.03,10,76.05
Feb-16,8.24,73.62,85.66,74.64,11.06,155.79,156.82,7.43,25.48,19.6,1001,4,10.26,96.88,0.06,0.04,0.5,0.2,141.35,10,20
Mar-16,8.63249969482422,62.25,84.92,64.29,11.13,166.01,122.85,13.40,68.70,59.00,1312.50,30.00,9.36,48.76,0.063000001013279,0.0419999994337559,0.5,0.275250017642975,305,129,83.0739974975586
Apr-16,8.43000030517578,57.80,65.82,87.46,5.45,150.35,113.10,5.20,26.73,18.50,5975.00,7.50,8.25,61.33,0.063000001013279,0.0324999988079071,0.5,0.291500002145767,186.75,119.75,58.4620018005371
May-16,8.44,70.78,69.77,61.52,7.89,158.61,191.27,14.56,29,27,3060,7.2,7.85,60.83,0.06,0.04,0.5,0.2,111.76,123.6,65.39
June-16,8.79,62.15,65.88,61.52,7.89,164.77,185.46,22.15,28.25,24,900,5,8.71,59.97,0.06,0.05,0.64,0.2,377.01,65,73.04
July-17,7.09,49.88,65.88,61.52,7.89,156,109,-10,12.48,35,905,5,7.32,30,0.04,0.0024,0.8,0.2,377.01,44,73.04
Aug-17,7.98,53.4,50,61.52,5.4,185,136,-40,8.31,60,1641,3,7.79,35,0.094,0.043,0.6,0.2,124,14,53
Sep-17,8.41,54,55,42,6,174,123,11,5.97,44,721,8,7.33,23,0.06,0.078,0.3,0.2,148,100,53
Oct-17,8.11,57.16,61,46,6.3,174,117,-5,5.97,131,3217,8,6.61,20,0.08,0.12,1.4,0.2,303,50,70
Nov-17,8.13,61.2,64,54,7.5,139,120,6,5.97,110,3853,5,5.24,23,0.038,0.15,0.3,0.2,185,48,68
Dec-17,7.94,62.07,66,52,7.9,189,121,5,5.97,126,2817,4,5.37,20,0.043,0.098,0.2,0.2,15,2.4,72
Jan-17,8.33,60.64,80,60,7.8,121,113,6,5.97,153,13863,7,6.77,59,0.02,0.2,0.3,0.2,74,81,78
Feb-17,7.02,26.51,19,18,5,65,16,-50,234.8,1524,2720,6,8.23,36,0.18,0.2,0.4,0.03,92,6.1,23
Mar-17,7.35,31.35,28,20,5,88,62,-10,100.1,423,2913,7,8.66,9.1,0.012,0.015,0.9,0.08,27,8.1,38
Apr-17,7.45,33.9,30,0,5,102,71,-7,17.525,75,838,3,5.57,23,0.015,0.057,0.3,0.03,17,22,32
May-17,7.34,39.98,34,25,5,116,86,-10,17.525,63,4967,5,5.57,1.8,0.16,0.057,0.6,0.03,6.5,6.6,47
June-17,7.94,45.65,56,28,6,149,103,9.8,30.375,118,2725,40,8.4,5,0.03,0.18,0.9,51,41,5.7,51
July-17,7.09,49.88,48,38,5,156,109,-10,12.482,35,904,5,7.32,30,0.04,0.024,0.8,0.03,102,2.4,59
Aug-17,7.98,53.4,50,42,5.4,185,116,-40,8.31,60,1641,3,7.97,39,0.094,0.043,0.6,0.03,124,44,53
Sep-17,8.41,54,55,42,6,174,123,11,5.97,44,721,8,7.33,38,0.06,0.078,0.3,0.03,148,100,53
Oct-17,8.11,57.16,61,46,6.3,165,117,-5,15.93,131,3217,8,6.61,38,0.08,0.12,1.4,0.03,303,50,70
Nov-17,8.13,61.2,64,54,7.5,139,120,6,17.73,110,3853,5,5.24,73,0.038,0.15,0.3,0.03,185,48,68
Dec-17,7.94,62.07,66,52,7.9,189,121,5,16.47,126,2817,4,5.37,55,0.043,0.098,0.2,0.03,15,2.4,72
Jan-18,8.33,60.64,80,60,7.8,121,113,6,27.84,153,13863,7,6.77,156,0.02,0.2,0.3,0.03,74,81,78
Feb-18,8.36,62.9,78,50,8.3,145,110,3,32.58,204,14913,6,7.71,108,0.01,0.19,0.2,0.03,179,37,83
Mar-18,8.43,66.18,82,52,8.9,156,93,4,29.59,170,5460,10,7.99,159,0.012,0.11,0.3,0.05,201,22,78
Apr-18,8.25,68.96,78,64,10.4,165,111,1,25.83,165,2411,11,10.7,90,0.024,0.23,0.2,0.03,134,29,81
May-18,8.28,71.58,97,55,8.7,180,126,0.3,22.73,146,2988,47,10.6,21,0.018,0.12,0.3,0.03,178,23,86
June-18,8.77,72.1,91,73,9.6,192,123,0.9,26.14,31,4060,9.9,9.88,183,0.017,0.064,0.5,0.03,4.4,6.4,94
July-18,8.95,73.38,82,52,7.8,214,131,1,29.97,23,1604,5,9.4,185,0.016,0.035,0.2,0.03,7,76,79
Min,7.0,24.5,13.0,0.0,3.8,65.0,16.0,-50.0,2.9,18.5,95.6,0.0,1.9,0.9,0.0,0.0,0.2,0.0,4.4,2.4,20.0
Max,9.0,161.5,97.0,87.5,12.8,249.3,329.1,22.2,234.8,1524.0,151925,825.0,15.0,185.0,34.8,2.1,7.4,51.0,2940.0,247.7,115.3
SDV,0.4,15.9,20.1,15.9,1.8,38.6,34.6,12.3,45.2,237.4,20102.6,107.5,2.5,38.1,3.9,0.4,1.4,5.5,429.2,46.3,18.3
Aver.,8.2,62.2,70.5,50.5,7.2,172.9,120.2,2.7,24.9,107.2,9894.8,35.6,7.2,35.4,0.9,0.2,1.4,0.7,200.3,44.9,73.2
Limits,9.7,170.0,300.0,200.0,50.0,300.0,250.0,20.0,5.0,15.0,10.0,0.0,10.0,100.0,0.9,1.5,11.0,10.0,2000.0,400.0,500.0
Treatability,0.8,0.4,0.2,0.3,0.1,0.6,0.5,0.1,5.0,7.1,989.5,3564.9,0.7,0.4,1.0,0.1,0.1,0.1,0.1,0.1,0.1
